Assigned;Assigned[%];Time[min];Iter;IterYield[%];Speed[it/s];AddedPert;AddedPert[%];HardStudentConf;StudentConf;DistStudentConf;CommitStudentConf;TimePref;RoomPref;DistInstrPref;GrConstPref;UselessHalfHours;BrokenTimePat;TooBigRooms
0;0.000;0.000;0;NaN;NaN;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
1;0.176;0.002;1;100.000;7.885;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
2;0.351;0.004;2;100.000;9.409;0;0.000;0;0;0;0;0.000;0;0;0;0;0;4
3;0.527;0.004;3;100.000;11.983;0;0.000;0;0;0;0;0.000;0;0;0;0;0;8
4;0.703;0.005;4;100.000;13.591;0;0.000;0;0;0;0;0.000;0;0;0;0;2;12
5;0.879;0.005;5;100.000;16.229;0;0.000;0;0;0;0;0.000;0;0;0;0;2;16
6;1.054;0.005;6;100.000;18.571;0;0.000;0;0;0;0;0.000;0;0;0;0;2;16
7;1.230;0.014;7;100.000;8.212;0;0.000;0;0;0;0;0.000;0;0;0;0;2;16
8;1.406;0.014;8;100.000;9.242;0;0.000;0;0;0;0;0.000;0;0;0;0;2;20
9;1.582;0.015;9;100.000;10.166;0;0.000;0;0;0;0;0.000;0;0;0;0;2;24
10;1.757;0.015;10;100.000;11.146;0;0.000;0;0;0;0;0.000;0;0;0;0;2;28
11;1.933;0.015;11;100.000;12.013;0;0.000;0;0;0;0;0.000;0;0;0;0;2;32
12;2.109;0.015;12;100.000;12.926;0;0.000;0;0;0;0;0.000;0;0;0;0;2;36
13;2.285;0.017;13;100.000;12.868;0;0.000;0;0;0;0;0.000;0;0;0;0;4;40
14;2.460;0.017;14;100.000;13.704;0;0.000;0;0;0;0;0.000;0;0;0;0;4;44
15;2.636;0.017;15;100.000;14.546;0;0.000;0;0;0;0;0.000;0;0;0;0;4;44
16;2.812;0.018;16;100.000;14.933;0;0.000;0;0;0;0;0.000;0;0;0;0;4;48
17;2.988;0.019;17;100.000;15.284;0;0.000;0;0;0;0;0.000;0;0;0;0;4;52
18;3.163;0.019;18;100.000;15.952;0;0.000;0;0;0;0;0.000;0;0;0;0;6;56
19;3.339;0.019;19;100.000;16.503;0;0.000;0;0;0;0;0.000;0;0;0;0;9;60
20;3.515;0.020;20;100.000;16.962;0;0.000;0;0;0;0;0.000;0;0;0;0;12;64
21;3.691;0.020;21;100.000;17.489;0;0.000;0;0;0;0;0.000;0;0;0;0;15;68
22;3.866;0.020;22;100.000;17.981;0;0.000;0;0;0;0;0.000;0;0;0;0;15;72
23;4.042;0.021;23;100.000;18.395;0;0.000;0;0;0;0;0.000;0;0;0;0;15;76
24;4.218;0.021;24;100.000;18.769;0;0.000;0;0;0;0;0.000;0;0;0;0;15;80
25;4.394;0.022;25;100.000;18.969;0;0.000;0;0;0;0;0.000;0;0;0;0;17;84
26;4.569;0.023;26;100.000;18.997;0;0.000;0;0;0;0;0.000;0;0;0;0;21;84
27;4.745;0.023;27;100.000;19.159;0;0.000;0;0;0;0;0.000;0;0;0;0;25;88
28;4.921;0.024;28;100.000;19.658;0;0.000;0;0;0;0;0.000;0;0;0;0;25;88
29;5.097;0.024;29;100.000;20.237;0;0.000;0;0;0;0;0.000;0;0;0;0;25;92
30;5.272;0.024;30;100.000;20.449;0;0.000;0;0;0;0;0.000;0;0;0;0;25;92
31;5.448;0.025;31;100.000;20.436;0;0.000;0;0;0;0;0.000;0;0;0;0;25;96
32;5.624;0.026;32;100.000;20.611;0;0.000;0;0;0;0;0.000;0;0;0;0;25;97
33;5.800;0.026;33;100.000;21.031;0;0.000;0;0;0;0;0.000;0;0;0;0;25;101
34;5.975;0.026;34;100.000;21.408;0;0.000;0;0;0;0;0.000;0;0;0;0;27;105
35;6.151;0.027;35;100.000;21.920;0;0.000;0;0;0;0;0.000;0;0;0;0;27;109
36;6.327;0.027;36;100.000;22.150;0;0.000;0;0;0;0;0.000;0;0;0;0;27;113
37;6.503;0.027;37;100.000;22.463;0;0.000;0;0;0;0;0.000;0;0;0;0;27;113
38;6.678;0.028;38;100.000;22.788;0;0.000;0;0;0;0;0.000;0;0;0;0;31;113
39;6.854;0.028;39;100.000;23.123;0;0.000;0;0;0;0;0.000;0;0;0;0;33;113
40;7.030;0.028;40;100.000;23.587;0;0.000;0;0;0;0;0.000;0;0;0;0;33;117
41;7.206;0.029;41;100.000;23.889;0;0.000;0;0;0;0;0.000;0;0;0;0;35;121
42;7.381;0.029;42;100.000;24.236;0;0.000;0;0;0;0;0.000;0;0;0;0;35;125
43;7.557;0.029;43;100.000;24.575;0;0.000;0;0;0;0;0.000;0;0;0;0;35;129
44;7.733;0.030;44;100.000;24.706;0;0.000;0;0;0;0;0.000;0;0;0;0;35;133
45;7.909;0.030;45;100.000;25.093;0;0.000;0;0;0;0;0.000;0;0;0;0;35;137
46;8.084;0.030;46;100.000;25.549;0;0.000;0;0;0;0;0.000;0;0;0;0;35;141
47;8.260;0.030;47;100.000;25.792;0;0.000;0;0;0;0;0.000;0;0;0;0;35;142
48;8.436;0.031;48;100.000;26.026;0;0.000;0;0;0;0;0.000;0;0;0;0;35;146
49;8.612;0.031;49;100.000;26.352;0;0.000;0;0;0;0;0.000;0;0;0;0;35;150
50;8.787;0.031;50;100.000;26.556;0;0.000;0;0;0;0;0.000;0;0;0;0;39;154
51;8.963;0.041;51;100.000;20.857;0;0.000;0;0;0;0;0.000;0;0;0;0;39;154
52;9.139;0.041;52;100.000;21.127;0;0.000;0;0;0;0;0.000;0;0;0;0;39;155
53;9.315;0.041;53;100.000;21.435;0;0.000;0;0;0;0;0.000;0;0;0;0;41;159
54;9.490;0.041;54;100.000;21.730;0;0.000;0;0;0;0;0.000;0;0;0;0;45;163
55;9.666;0.042;55;100.000;22.030;0;0.000;0;0;0;0;0.000;0;0;0;0;45;167
56;9.842;0.042;56;100.000;22.019;0;0.000;0;0;0;0;0.000;0;0;0;0;45;167
57;10.018;0.043;57;100.000;22.350;0;0.000;0;0;0;0;0.000;0;0;0;0;45;171
58;10.193;0.043;58;100.000;22.628;0;0.000;0;0;0;0;0.000;0;0;0;0;45;175
59;10.369;0.043;59;100.000;22.859;0;0.000;0;0;0;0;0.000;0;0;0;0;45;179
60;10.545;0.043;60;100.000;22.992;0;0.000;0;0;0;0;0.000;0;0;0;0;45;183
